variant,tier_a_event_count,tier_b_event_count,tier_c_event_count,tier_a_recall,tier_b_recall,tier_c_recall,tier_a_snapshot_recall,tier_b_snapshot_recall,tier_c_snapshot_recall,tier_a_prearmed_recall,tier_b_prearmed_recall,ab_weighted_recall,reaction_median_ms,reaction_p95_ms,tier_a_reaction_p95_ms,tier_b_reaction_p95_ms,oversampling_median_ms,oversampling_p95_ms,oversampling_observed_count,oversampling_censored_dataset_end,oversampling_ended_by_next_event,oversampling_released_count,oversampling_horizon_hit_count,false_fast_time,fast_time_fraction,snapshot_count,fixed1s_snapshot_count,snapshot_reduction,mid_reconstruction_mae_bp,imbalance_reconstruction_mae,gates_passed,gate_count,pass,checks
asym-log_excess-balanced-responsive-tau1000-g0.75,205,45,756,1.0,1.0,0.7354497354497355,1.0,0.8222222222222222,0.6362433862433863,0.3121951219512195,0.7111111111111111,1.0,0.0,0.0,0.0,0.0,2250.0,6000.0,250,0,35,215,0,0.06078766500600022,0.07507531032125282,11226,35105,0.6802164933770118,0.23714182761504288,0.19247548326396097,8,9,False,"{""ab_weighted_recall"": true, ""false_fast"": true, ""oversampling"": true, ""reaction"": true, ""reduction"": true, ""tier_a_recall"": true, ""tier_a_snapshot_recall"": true, ""tier_b_recall"": true, ""tier_b_snapshot_recall"": false}"
asym-sqrt_excess-price_heavy-fidelity-tau1400-g0.75,205,45,756,1.0,1.0,0.8518518518518519,1.0,0.9111111111111111,0.783068783068783,0.4634146341463415,0.8444444444444444,1.0,0.0,0.0,0.0,0.0,2875.0,11637.499999999996,250,0,52,195,3,0.11950252736463145,0.1337995570400017,12498,35105,0.6439823386981911,0.18446185677791782,0.1827322929016852,8,9,False,"{""ab_weighted_recall"": true, ""false_fast"": true, ""oversampling"": false, ""reaction"": true, ""reduction"": true, ""tier_a_recall"": true, ""tier_a_snapshot_recall"": true, ""tier_b_recall"": true, ""tier_b_snapshot_recall"": true}"
asym-log_excess-confluence-clean_release-tau1900-g0.95,205,45,756,1.0,1.0,0.7433862433862434,1.0,0.9777777777777777,0.7301587301587301,0.3902439024390244,0.7111111111111111,1.0,0.0,0.0,0.0,0.0,2750.0,12024.99999999999,250,0,53,195,2,0.1043019746172588,0.11870188507253292,12083,35105,0.655804016521863,0.20843954908995502,0.18651953240466376,8,9,False,"{""ab_weighted_recall"": true, ""false_fast"": true, ""oversampling"": false, ""reaction"": true, ""reduction"": true, ""tier_a_recall"": true, ""tier_a_snapshot_recall"": true, ""tier_b_recall"": true, ""tier_b_snapshot_recall"": true}"
asym-sqrt_excess-price_heavy-responsive-tau1400-g0.95,205,45,756,1.0,1.0,0.9193121693121693,1.0,0.9111111111111111,0.8029100529100529,0.4926829268292683,0.9111111111111111,1.0,0.0,0.0,0.0,0.0,3750.0,18274.999999999993,250,0,61,186,3,0.1750245463471399,0.18884908737421574,14146,35105,0.5970374590514171,0.15709365778961754,0.16869321179909139,8,9,False,"{""ab_weighted_recall"": true, ""false_fast"": true, ""oversampling"": false, ""reaction"": true, ""reduction"": true, ""tier_a_recall"": true, ""tier_a_snapshot_recall"": true, ""tier_b_recall"": true, ""tier_b_snapshot_recall"": true}"
asym-sqrt_excess-balanced-clean_release-tau1400-g1.2,205,45,756,1.0,1.0,0.8902116402116402,1.0,1.0,0.8174603174603174,0.4975609756097561,0.9333333333333333,1.0,0.0,0.0,0.0,0.0,2750.0,12662.499999999987,250,0,54,194,2,0.15933670315284193,0.17301077489513528,14484,35105,0.587409200968523,0.15281729450167622,0.16694043008202497,8,9,False,"{""ab_weighted_recall"": true, ""false_fast"": true, ""oversampling"": false, ""reaction"": true, ""reduction"": true, ""tier_a_recall"": true, ""tier_a_snapshot_recall"": true, ""tier_b_recall"": true, ""tier_b_snapshot_recall"": true}"
asym-log_excess-balanced-balanced-tau1000-g0.75,205,45,756,1.0,1.0,0.656084656084656,1.0,0.8666666666666667,0.5952380952380952,0.2731707317073171,0.6222222222222222,1.0,0.0,250.0,0.0,0.0,1875.0,5000.0,250,0,25,225,0,0.050140005091094224,0.06401555345074385,10307,35105,0.7063951004130467,0.27500254845054756,0.19839212072521725,8,9,False,"{""ab_weighted_recall"": true, ""false_fast"": true, ""oversampling"": true, ""reaction"": true, ""reduction"": true, ""tier_a_recall"": true, ""tier_a_snapshot_recall"": true, ""tier_b_recall"": true, ""tier_b_snapshot_recall"": false}"
asym-sqrt_excess-price_heavy-balanced-tau1000-g0.95,205,45,756,1.0,1.0,0.7976190476190477,1.0,0.9111111111111111,0.7407407407407407,0.4292682926829268,0.7111111111111111,1.0,0.0,0.0,0.0,0.0,2250.0,7137.499999999995,250,0,40,210,0,0.0802501909160333,0.09459546072824902,11630,35105,0.668708161230594,0.20849876869217984,0.18999932105225398,8,9,False,"{""ab_weighted_recall"": true, ""false_fast"": true, ""oversampling"": false, ""reaction"": true, ""reduction"": true, ""tier_a_recall"": true, ""tier_a_snapshot_recall"": true, ""tier_b_recall"": true, ""tier_b_snapshot_recall"": true}"
asym-log_excess-price_heavy-clean_release-tau1400-g0.55,205,45,756,1.0,1.0,0.43783068783068785,1.0,0.8666666666666667,0.4087301587301587,0.2634146341463415,0.6222222222222222,1.0,0.0,0.0,0.0,0.0,2000.0,5250.0,250,0,27,223,0,0.04915815120549838,0.06297580811713514,9343,35105,0.7338555761287566,0.35149980537196535,0.19653884152512505,8,9,False,"{""ab_weighted_recall"": true, ""false_fast"": true, ""oversampling"": true, ""reaction"": true, ""reduction"": true, ""tier_a_recall"": true, ""tier_a_snapshot_recall"": true, ""tier_b_recall"": true, ""tier_b_snapshot_recall"": false}"
asym-sqrt_excess-confluence-fidelity-tau2600-g0.75,205,45,756,1.0,1.0,0.9563492063492064,1.0,1.0,0.876984126984127,0.5951219512195122,0.9111111111111111,1.0,0.0,0.0,0.0,0.0,5750.0,30000.0,250,0,81,153,16,0.28070838939597803,0.29315121173060626,16681,35105,0.5248255234297109,0.13439435887544385,0.14896866329989353,7,9,False,"{""ab_weighted_recall"": true, ""false_fast"": false, ""oversampling"": false, ""reaction"": true, ""reduction"": true, ""tier_a_recall"": true, ""tier_a_snapshot_recall"": true, ""tier_b_recall"": true, ""tier_b_snapshot_recall"": true}"
asym-sqrt_excess-confluence-responsive-tau1900-g0.95,205,45,756,1.0,1.0,0.9576719576719577,1.0,1.0,0.8849206349206349,0.5853658536585366,0.9555555555555556,1.0,0.0,0.0,0.0,0.0,5250.0,30000.0,250,0,75,161,14,0.2880977490090549,0.30042942906586717,17239,35105,0.5089303518017376,0.12653575478039997,0.14768310007500557,7,9,False,"{""ab_weighted_recall"": true, ""false_fast"": false, ""oversampling"": false, ""reaction"": true, ""reduction"": true, ""tier_a_recall"": true, ""tier_a_snapshot_recall"": true, ""tier_b_recall"": true, ""tier_b_snapshot_recall"": true}"
